,Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,SP500,AMERIBOR,T10YIE,T5YIE,RSXFS,UNRATE,DGS10,DGS1,WPU072,DCPN3M,DCPF1M,DCOILWTICO,DHHNGSP,Yest_Close,stock_return
12,2021-09-01,400.7099914550781,401.95001220703125,393.67999267578125,395.5299987792969,395.5299987792969,966300,0.11,0.4,-0.94,-0.43,-0.36,0.0,-0.237615,4524.09,0.09287000000000001,2.34,2.48,547197.0,4.8,1.31,0.07,246.089,0.07,0.06,68.63,4.45,364.2300109863281,0.08593467547665543
13,2021-10-01,407.5199890136719,408.19000244140625,399.3800048828125,401.3699951171875,401.3699951171875,787700,1.1,0.47,0.5,-0.1,0.61,0.0,0.399719,4357.04,0.08369,2.38,2.51,557190.0,4.5,1.48,0.09,251.378,0.05,0.07,76.01,5.61,395.5299987792969,0.014764989649114591
14,2021-11-01,468.0,469.44000244140625,456.1000061035156,458.8800048828125,458.8800048828125,788700,0.51,2.05,0.44,-1.12,0.03,0.0,1.05226,4613.67,0.13258,2.5,2.86,563358.0,4.2,1.58,0.15,256.214,,,84.08,5.22,401.3699951171875,0.1432842775126573
15,2021-12-01,459.54998779296875,467.9800109863281,447.9599914550781,448.42999267578125,448.42999267578125,892200,-1.61,-0.47,1.11,2.29,0.74,0.0,0.450129,4513.04,0.13439,2.44,2.7,560896.0,3.9,1.43,0.25,259.865,0.14,0.1,65.44,4.31,458.8800048828125,-0.022772864574258242
16,2022-02-01,335.4800109863281,346.1300048828125,333.3900146484375,344.9100036621094,344.9100036621094,1818600,0.87,0.12,0.65,-1.07,0.38,0.0,-0.087973,4546.54,0.10766,2.43,2.8,577933.0,3.8,1.81,0.78,264.808,0.21,0.09,88.22,5.45,448.42999267578125,-0.23084983320577693
17,2022-03-01,321.1099853515625,326.0199890136719,313.29998779296875,315.17999267578125,315.17999267578125,1236600,-1.57,-0.28,-0.81,-0.39,0.55,0.0,0.083282,4306.26,0.14107,2.62,3.14,589238.0,3.6,1.72,0.91,267.558,0.4,0.28,103.66,4.36,344.9100036621094,-0.08619642999816582
18,2022-04-01,364.8999938964844,369.2300109863281,362.70001220703125,367.44000244140625,367.44000244140625,1360300,0.39,0.57,-0.59,-0.91,0.1,0.001,-0.166903,4545.86,0.37363,2.8,3.28,595371.0,3.6,2.39,1.72,270.9,,0.41,99.32,5.43,315.17999267578125,0.16581004816312603
19,2022-06-01,297.8500061035156,299.70001220703125,286.8699951171875,289.9599914550781,289.9599914550781,2197000,-0.75,0.22,0.79,-0.18,1.07,0.003,-0.649798,4101.23,0.91483,2.65,2.96,598405.0,3.6,2.94,2.16,278.428,1.07,,115.26,8.47,367.44000244140625,-0.2108643873054716
20,2022-07-01,269.1400146484375,271.0799865722656,261.0299987792969,263.3800048828125,263.3800048828125,1867900,1.15,-0.02,0.1,-0.74,-0.06,0.004,-0.103162,3825.33,1.7044300000000001,2.34,2.6,594264.0,3.5,2.88,2.79,280.858,,1.72,110.3,5.75,289.9599914550781,-0.0916677726429838
21,2022-08-01,308.0899963378906,314.1499938964844,305.67999267578125,310.010009765625,310.010009765625,743600,-0.19,0.18,-0.26,0.17,0.34,0.008,0.401043,4118.63,2.46104,2.51,2.72,596600.0,3.7,2.6,2.98,283.312,2.54,2.34,96.59,8.2,263.3800048828125,0.17704458963602765
22,2022-09-01,293.9700012207031,294.8800048828125,283.30999755859375,294.45001220703125,294.45001220703125,3495300,-0.01,-1.04,-0.29,0.62,0.55,0.009,0.304071,3966.85,2.45342,2.45,2.52,594142.0,3.5,3.26,3.51,282.618,,2.36,87.09,9.38,310.010009765625,-0.05019191983625781
23,2022-11-01,335.0,337.1400146484375,327.0799865722656,330.3599853515625,330.3599853515625,1154000,-0.35,0.44,0.78,-0.01,0.4,0.014,-0.497466,3856.1,3.34396,2.51,2.65,593090.0,3.6,4.07,4.75,279.731,,3.68,88.36,4.57,294.45001220703125,0.12195609324438583
24,2022-12-01,380.30999755859375,386.45001220703125,377.8900146484375,381.82000732421875,381.82000732421875,1236300,-0.02,0.04,-0.69,-0.32,-0.32,0.016,-0.778705,4076.57,4.02529,2.36,2.45,588540.0,3.5,3.53,4.66,279.269,,4.01,81.06,6.33,330.3599853515625,0.1557695370336499
25,2023-02-01,306.8999938964844,318.69000244140625,305.25,315.7099914550781,315.7099914550781,2010200,1.19,0.63,-1.67,-0.2,-1.08,0.018,0.167283,4119.21,4.62986,2.25,2.29,600669.0,3.6,3.39,4.66,276.095,4.63,4.61,76.34,2.65,381.82000732421875,-0.17314445183854377
26,2023-03-01,309.3900146484375,311.760009765625,303.80999755859375,309.489990234375,309.489990234375,1255300,-0.42,0.4,0.62,0.2,0.61,0.016,-0.374223,3951.39,4.86584,2.44,2.59,594281.0,3.5,4.01,5.06,275.304,4.79,4.66,77.57,2.59,315.7099914550781,-0.019701629308707384
27,2023-05-01,380.5799865722656,385.44000244140625,380.2099914550781,384.989990234375,384.989990234375,1302300,-0.02,0.17,-0.78,-0.5,0.18,0.016,-0.081704,4167.87,5.1096,2.23,2.24,599958.0,3.7,3.59,4.86,275.061,,5.02,75.65,2.24,309.489990234375,0.24394973143662668
28,2023-06-01,330.9100036621094,334.67999267578125,326.92999267578125,328.3500061035156,328.3500061035156,4166100,1.01,0.05,-0.07,-0.12,-0.39,0.019,-0.429559,4221.02,5.26738,2.16,2.07,600736.0,3.6,3.61,5.11,273.42,,,70.09,1.77,384.989990234375,-0.14712066694611453
29,2023-08-01,376.989990234375,382.30999755859375,376.0,381.2099914550781,381.2099914550781,1096100,-0.35,-0.11,0.31,0.19,-0.28,0.02,0.280012,4576.73,5.50198,2.37,2.26,608386.0,3.8,4.05,5.38,271.922,,5.35,81.37,2.49,328.3500061035156,0.16098670433676757
30,2023-09-01,393.0,406.75,385.1099853515625,404.19000244140625,404.19000244140625,5170400,0.26,0.84,0.59,-0.02,-0.2,0.021,0.18866,4515.77,5.44715,2.26,2.17,613076.0,3.8,4.18,5.36,271.275,,5.35,85.52,2.7,381.2099914550781,0.060281764647913474
